id,reading_date,kwh_value,contract_id
1,2025-06-01 11:50:24,161.3,1
2,2025-03-15 11:50:24,463.94,1
3,2025-03-09 11:50:24,307.77,1
4,2025-04-03 11:50:24,151.92,1
5,2025-03-12 11:50:24,477.41,1
6,2025-03-17 11:50:24,143.75,1
7,2025-03-19 11:50:24,177.72,1
8,2025-03-08 11:50:24,303.8,1
9,2025-03-05 11:50:24,89.35,1
10,2025-04-18 11:50:24,118.1,1
11,2025-03-21 11:50:24,141.34,1
12,2025-05-31 11:50:24,220.11,1
13,2025-04-21 11:50:24,128.23,1
14,2025-04-04 11:50:24,386.54,1
15,2025-04-09 11:50:24,51.29,1
16,2025-04-11 11:50:24,444.44,1
17,2025-05-14 11:50:24,395.67,1
18,2025-05-11 11:50:24,129.76,1
19,2025-04-13 11:50:24,168.56,1
20,2025-05-23 11:50:24,438.13,1
21,2025-04-12 11:50:24,83.28,1
22,2025-05-22 11:50:24,438.24,1
23,2025-04-17 11:50:24,314.94,1
24,2025-05-06 11:50:24,478.29,1
25,2025-04-02 11:50:24,354.55,1
26,2025-04-29 11:50:24,423.62,1
27,2025-04-19 11:50:24,167.79,1
28,2025-05-21 11:50:24,350.52,1
29,2025-05-19 11:50:24,263.95,1
30,2025-03-31 11:50:24,110.31,1
31,2025-04-30 11:50:24,357.14,1
32,2025-04-27 11:50:24,240.78,1
33,2025-03-30 11:50:24,178.48,1
34,2025-06-02 11:50:24,54.41,1
35,2025-05-10 11:50:24,225.11,1
36,2025-05-28 11:50:24,224.84,1
37,2025-04-16 11:50:24,460.54,1
38,2025-03-29 11:50:24,440.09,1
39,2025-05-04 11:50:24,422.4,1
40,2025-04-25 11:50:24,111.39,1
41,2025-05-05 11:50:24,254.91,1
42,2025-05-26 11:50:24,197.92,1
43,2025-03-07 11:50:24,293.45,1
44,2025-05-24 11:50:24,84.91,1
45,2025-05-01 11:50:24,442.32,1
46,2025-03-27 11:50:24,89.59,1
47,2025-03-28 11:50:24,92.86,1
48,2025-03-16 11:50:24,181.64,1
49,2025-04-01 11:50:24,184.45,1
50,2025-04-10 11:50:24,423.21,1
51,2025-03-13 11:50:24,382.3,1
52,2025-05-09 11:50:24,296.2,1
53,2025-05-18 11:50:24,396.65,1
54,2025-03-18 11:50:24,261.33,1
55,2025-04-28 11:50:24,352.93,1
56,2025-04-15 11:50:24,92.71,1
57,2025-05-13 11:50:24,72.45,1
58,2025-05-15 11:50:24,479.54,1
59,2025-04-06 11:50:24,344.04,1
60,2025-04-23 11:50:24,209.98,1
61,2025-03-21 11:50:24,237.48,2
62,2025-03-12 11:50:24,244.4,2
63,2025-03-11 11:50:24,160.24,2
64,2025-04-15 11:50:24,358.43,2
65,2025-03-22 11:50:24,423.54,2
66,2025-03-14 11:50:24,79.78,2
67,2025-04-17 11:50:24,445.11,2
68,2025-04-27 11:50:24,329.27,2
69,2025-05-12 11:50:24,135.0,2
70,2025-04-23 11:50:24,184.34,2
71,2025-03-19 11:50:24,490.24,2
72,2025-05-13 11:50:24,178.74,2
73,2025-03-06 11:50:24,308.55,2
74,2025-04-07 11:50:24,321.12,2
